name,nomenclature,source_db_name,normalized_gene_id,aliases
OR13C7,Gene Symbol,Ensembl,hgnc:15102,ensembl:ENSG00000243641|hgnc:15102|olfactory receptor family 13 subfamily C member 7 (gene/pseudogene)
OR52E2,Gene Name,PharmGKB,hgnc:14769,PHARMGKB.GENE:PA32403
GPR171,Gene Symbol,IDG,hgnc:30057,
IUPHAR.RECEPTOR:640,GuideToPharmacology ID,GuideToPharmacology,hgnc:7530,HGNC:7530|MEVALONATE KINASE|MVK|REFSEQ:NM_000431|REFSEQ:NM_001114185|REFSEQ:NP_000422|REFSEQ:NP_001107657|UNIPROT:Q03426
PIGM,Gene Name,PharmGKB,hgnc:18858,PHARMGKB.GENE:PA38718
RFWD3,Gene Symbol,HGNC,hgnc:25539,ccds:CCDS32486|ena.embl:AK001382|ensembl:ENSG00000168411|FANCW|FLJ10520|hgnc:25539|ncbigene:55159|omim:614151|pubmed:21504906|pubmed:28691929|refseq:NM_018124|ring finger and WD repeat domain 3|RNF201|ucsc:uc002fda.4|uniprot:Q6PCD5|vega:OTTHUMG00000177368
NERVE GROWTH FACTOR,Gene Name,TTD,hgnc:7808,NGF|TTD.TARGET:T85670
APEH,Gene Symbol,Ensembl,hgnc:586,acylaminoacyl-peptide hydrolase|ensembl:ENSG00000164062|hgnc:586
PDIK1L,Gene Symbol,NCBI,hgnc:18981,CLIK1L|ensembl:ENSG00000175087|hgnc:18981|ncbigene:149420|omim:610785|PDLIM1 interacting kinase 1 like|STK35L2
DYRK1B,Gene Name,DrugBank,hgnc:3092,DYR1B_HUMAN|DYRK1B|HGNC:3092|IUPHAR.RECEPTOR:2010|UNIPROT:Q9Y463
NKX3-1,Gene Symbol,NCBI,hgnc:7838,BAPX2|ensembl:ENSG00000167034|hgnc:7838|ncbigene:4824|NK3 homeobox 1|NKX3|NKX3.1|NKX3A|omim:602041
NMNAT3,Gene Symbol,Pharos,hgnc:20989,NICOTINAMIDE/NICOTINIC ACID MONONUCLEOTIDE ADENYLYLTRANSFERASE 3|UNIPROT:Q96T66
