HGNC_ID,ENSG_ID,NCBI_ID,captured_status,captured_category_list,primary_gene_symbol,gene_symbol,alternate_abbreviation_status_w_no_context
HGNC:6416,ENSG00000186847,GENE ID:3861,TRUE,Prefix Condition Symbol,KRT14,EBS1B,FALSE
HGNC:28270,ENSG00000198858,GENE ID:91300,TRUE,"Previous Symbol, Placeholder Symbol",R3HDM4,C19ORF22,FALSE
HGNC:3437,ENSG00000134899,GENE ID:2073,TRUE,"Prefix Gene Group Symbol, Prefix Condition Symbol, Withdrawn MGI Symbol",ERCC5,XPG,FALSE
HGNC:41909,ENSG00000243317,GENE ID:647087,TRUE,"Previous Symbol, Placeholder Symbol",STMP1,C7orf73,FALSE
HGNC:34768,set(),GENE ID:100189205,TRUE,Prefix Gene Group Symbol,TRS-CGA3-1,tRNA-Ser-CGA-3-1,TRUE
HGNC:6898,ENSG00000166986,GENE ID:4141,TRUE,Prefix Condition Symbol,MARS1,SPG70,FALSE
HGNC:4193,ENSG00000131979,GENE ID:2643,TRUE,"Previous Symbol, Prefix Condition Symbol",GCH1,DYT5,FALSE
HGNC:11950,"ENSG00000288250, ENSG00000130595",GENE ID:7140,TRUE,Placeholder Symbol,TNNT3,DKFZP779M2348,FALSE
HGNC:20246,ENSG00000129472,GENE ID:84932,TRUE,Clone Symbol,RAB2B,FLJ14824,FALSE
HGNC:4113,ENSG00000178950,GENE ID:2580,TRUE,Prefix Gene Group Symbol,GAK,DNAJC26,FALSE
HGNC:26341,ENSG00000172073,GENE ID:200523,TRUE,"Previous Symbol, Placeholder Symbol",SPMIP9,C2ORF51,FALSE
HGNC:16935,ENSG00000197548,GENE ID:10533,TRUE,Placeholder Symbol,ATG7,DKFZP434N0735,FALSE
HGNC:38178,set(),GENE ID:100423041,TRUE,Gene Identifier Symbol,MIR4296,hsa-mir-4296,FALSE
HGNC:8182,ENSG00000221888,GENE ID:26188,TRUE,Prefix Gene Group Symbol,OR1C1,ORL211,FALSE
HGNC:2895,ENSG00000135960,GENE ID:10913,TRUE,Prefix Condition Symbol,EDAR,EDA1R,FALSE
HGNC:32896,ENSG00000207821,GENE ID:693225,TRUE,Gene Identifier Symbol,MIR640,HSA-MIR-640,FALSE
HGNC:35342,ENSG00000221537,GENE ID:100313830,TRUE,Gene Identifier Symbol,MIR548H1,HSA-MIR-548H-1,FALSE
HGNC:52930,ENSG00000267123,GENE ID:101928710,TRUE,Previous Symbol,SCAT1,LINC02081,FALSE
HGNC:37217,ENSG00000233802,GENE ID:729384,TRUE,"Previous Symbol, Prefix Gene Group Symbol",TRIM49D2,TRIM49D2P,FALSE
HGNC:15664,ENSG00000102595,GENE ID:55757,TRUE,"Previous Symbol, Clone Symbol",UGGT2,FLJ11485,FALSE
HGNC:28682,ENSG00000181007,GENE ID:284406,TRUE,"Previous Symbol, Placeholder Symbol",ZFP82,KIAA1948,FALSE
HGNC:7127,ENSG00000076242,GENE ID:4292,TRUE,Prefix Condition Symbol,MLH1,MMRCS1,FALSE
HGNC:3308,ENSG00000139610,GENE ID:1990,TRUE,"Previous Symbol, Withdrawn MGI Symbol",CELA1,ELA1,FALSE
