,primary_gene_symbol,alias_symbol,HGNC_ID,ENSG_ID,NCBI_ID
11132,CBLIF,INF,{'HGNC:4268'},{'ENSG00000134812'},{'GENE ID:2694'}
11133,CBLIF,TCN3,{'HGNC:4268'},{'ENSG00000134812'},{'GENE ID:2694'}
11134,CBLL1,FLJ23109,{'HGNC:21225'},{'ENSG00000105879'},{'GENE ID:79872'}
11135,CBLL1,HAKAI,{'HGNC:21225'},{'ENSG00000105879'},{'GENE ID:79872'}
11136,CBLL1,RNF188,{'HGNC:21225'},{'ENSG00000105879'},{'GENE ID:79872'}
11137,CBLL1-AS1,,{'HGNC:55571'},{'ENSG00000241764'},{'GENE ID:101927974'}
11138,CBLL1P1,,{'HGNC:55074'},"{'ENSG00000233433', 'ENSG00000288220'}",{'GENE ID:100128122'}
11139,CBLL2,CT138,{'HGNC:26371'},{'ENSG00000175809'},{'GENE ID:158506'}
11140,CBLL2,FLJ25735,{'HGNC:26371'},{'ENSG00000175809'},{'GENE ID:158506'}
11141,CBLL2,HAKAIL,{'HGNC:26371'},{'ENSG00000175809'},{'GENE ID:158506'}
11142,CBLL2,ZNF645,{'HGNC:26371'},{'ENSG00000175809'},{'GENE ID:158506'}
11143,CBLN1,,{'HGNC:1543'},{'ENSG00000102924'},{'GENE ID:869'}
11144,CBLN2,,{'HGNC:1544'},{'ENSG00000141668'},{'GENE ID:147381'}
11145,CBLN3,PRO1486,{'HGNC:20146'},{'ENSG00000139899'},{'GENE ID:643866'}
11146,CBLN3,,{'HGNC:20146'},{'ENSG00000139899'},{'GENE ID:643866'}
11147,CBLN4,CBLNL1,{'HGNC:16231'},{'ENSG00000054803'},{'GENE ID:140689'}
11148,CBLN4,DJ885A10.1,{'HGNC:16231'},{'ENSG00000054803'},{'GENE ID:140689'}
11149,CBLN4,dJ885A10.1,{'HGNC:16231'},{'ENSG00000054803'},{'GENE ID:140689'}
11150,CBR1,CBR,{'HGNC:1548'},{'ENSG00000159228'},{'GENE ID:873'}
11151,CBR1,PG-9-KR,{'HGNC:1548'},{'ENSG00000159228'},{'GENE ID:873'}
11152,CBR1,SDR21C1,{'HGNC:1548'},{'ENSG00000159228'},{'GENE ID:873'}
11153,CBR1,hCBR1,{'HGNC:1548'},{'ENSG00000159228'},{'GENE ID:873'}
11154,CBR1-AS1,,{'HGNC:55777'},{'ENSG00000230212'},{'GENE ID:100133286'}
11155,CBR3,HEL-S-25,{'HGNC:1549'},{'ENSG00000159231'},{'GENE ID:874'}
11156,CBR3,SDR21C2,{'HGNC:1549'},{'ENSG00000159231'},{'GENE ID:874'}
11157,CBR3,hCBR3,{'HGNC:1549'},{'ENSG00000159231'},{'GENE ID:874'}
11158,CBR3-AS1,PLNCRNA-1,{'HGNC:43664'},{'ENSG00000236830'},{'GENE ID:100506428'}
11159,CBR3-AS1,PlncRNA-1,{'HGNC:43664'},{'ENSG00000236830'},{'GENE ID:100506428'}
11160,CBR3-AS1,PlncRNA1,{'HGNC:43664'},{'ENSG00000236830'},{'GENE ID:100506428'}
11161,CBR4,FLJ14431,{'HGNC:25891'},{'ENSG00000145439'},{'GENE ID:84869'}
11162,CBR4,SDR45C1,{'HGNC:25891'},{'ENSG00000145439'},{'GENE ID:84869'}
11163,CBR4-DT,,{'HGNC:55540'},{'ENSG00000251445'},{'GENE ID:121009646'}
11164,CBS,CBSL,{'HGNC:1550'},{'ENSG00000160200'},{'GENE ID:875'}
11165,CBS,HIP4,{'HGNC:1550'},{'ENSG00000160200'},"{'GENE ID:102724560', 'GENE ID:875'}"
11166,CBSLR,TCONS_00001221,{'HGNC:55459'},set(),{'GENE ID:124904470'}
11167,CBSLR,,{'HGNC:55459'},set(),{'GENE ID:124904470'}
11168,CBX1,CBX,{'HGNC:1551'},{'ENSG00000108468'},{'GENE ID:10951'}
11169,CBX1,HP1-BETA,{'HGNC:1551'},{'ENSG00000108468'},{'GENE ID:10951'}
11170,CBX1,HP1BETA,{'HGNC:1551'},{'ENSG00000108468'},{'GENE ID:10951'}
11171,CBX1,HP1HS-BETA,{'HGNC:1551'},{'ENSG00000108468'},{'GENE ID:10951'}
11172,CBX1,HP1Hs-beta,{'HGNC:1551'},{'ENSG00000108468'},{'GENE ID:10951'}
11173,CBX1,HP1Hsbeta,{'HGNC:1551'},{'ENSG00000108468'},{'GENE ID:10951'}
11174,CBX1,Hp1beta,{'HGNC:1551'},{'ENSG00000108468'},{'GENE ID:10951'}
