,ENSG_ID,NCBI_ID,HGNC_ID,alias_symbol,gene_symbol
108771,ENSG00000132002,3337,5270,HSPF1,DNAJB1
108772,ENSG00000132002,3337,5270,RSPH16B,DNAJB1
108773,ENSG00000132002,3337,5270,SIS1,DNAJB1
108774,ENSG00000135930,9470,3293,4EHP,EIF4E2
108775,ENSG00000135930,9470,3293,EIF4EL3,EIF4E2
108776,ENSG00000135930,9470,3293,IF4E,EIF4E2
108786,ENSG00000201361,,43333,RN5S433,RNA5SP433
108790,ENSG00000103175,58189,15466,PS20,WFDC1
108795,ENSG00000227954,100507308,50506,EYA4-AS1,TARID
108801,ENSG00000064270,9914,29103,KIAA0703,ATP2C2
108802,ENSG00000064270,9914,29103,SPCA2,ATP2C2
108803,ENSG00000090661,79603,23747,FLJ12089,CERS4
108804,ENSG00000090661,79603,23747,LASS4,CERS4
108805,ENSG00000090661,79603,23747,TRH1,CERS4
108820,ENSG00000254576,,8292,HSHTPCRX11,OR4C1P
108821,ENSG00000254576,,8292,HTPCRX11,OR4C1P
108822,ENSG00000254576,,8292,OR4C1,OR4C1P
108823,ENSG00000120656,6883,11545,TAF2J,TAF12
108824,ENSG00000120656,6883,11545,TAFII20,TAF12
108827,ENSG00000186124,,15327,OR5BG1P,OR9M1P
108831,ENSG00000143942,494143,32363,GCG1,CHAC2
108834,ENSG00000223586,,28525,MGC34034,LINC01312
108838,ENSG00000265452,100500850,38916,HSA-MIR-3682,MIR3682
108839,ENSG00000119737,10936,4526,WI-31133,GPR75
108842,ENSG00000161547,6427,10783,PR264,SRSF2
108843,ENSG00000161547,6427,10783,SC-35,SRSF2
108844,ENSG00000161547,6427,10783,SC35,SRSF2
108845,ENSG00000161547,6427,10783,SFRS2,SRSF2
108846,ENSG00000161547,6427,10783,SFRS2A,SRSF2
108850,ENSG00000134612,,13636,FOLH2,FOLH1B
108851,ENSG00000134612,,13636,FOLHP,FOLH1B
108852,ENSG00000134612,,13636,PSMAL,FOLH1B
108853,ENSG00000152931,25859,17263,DKFZP586D0823,PART1
108854,ENSG00000152931,25859,17263,NCRNA00206,PART1
108855,ENSG00000068878,23198,20635,KIAA0077,PSME4
108856,ENSG00000068878,23198,20635,PA200,PSME4
108860,ENSG00000261286,105371374,53167,RP11-517C16.2,ATP2C2-AS1
108861,ENSG00000261286,105371374,53167,RP11-517C16.2-001,ATP2C2-AS1
108862,ENSG00000140950,57707,29325,KIAA1609,MEAK7
108863,ENSG00000140950,57707,29325,MEAK-7,MEAK7
108864,ENSG00000140950,57707,29325,TLDC1,MEAK7
108871,ENSG00000203711,100130967,21179,C6ORF99,LINC02901
108872,ENSG00000203711,100130967,21179,YR211F11.1,LINC02901
108874,ENSG00000229988,,4828,HBH1,HBBP1
108875,ENSG00000229988,,4828,HBHP,HBBP1
108876,ENSG00000229988,,4828,HBHPS,HBBP1
108881,ENSG00000131355,84658,23647,EMR3,ADGRE3
108883,ENSG00000227737,,8470,OR11-561,OR8B1P
108884,ENSG00000227737,,8470,OR8B11P,OR8B1P
108889,ENSG00000220205,6844,12643,SYB2,VAMP2
108890,ENSG00000220205,6844,12643,VAMP-2,VAMP2
108892,ENSG00000166787,,10515,SAA3,SAA3P
108893,ENSG00000197780,6884,11546,TAF2K,TAF13
108894,ENSG00000197780,6884,11546,TAFII18,TAF13
108909,ENSG00000073711,5523,9307,PPP2R3,PPP2R3A
108910,ENSG00000073711,5523,9307,PR130,PPP2R3A
108911,ENSG00000073711,5523,9307,PR72,PPP2R3A
108914,ENSG00000223442,101927761,40495,TH2-LCR,TH2LCRR
108915,ENSG00000103187,23406,18304,CLP,COTL1
108917,ENSG00000136628,2058,3418,EARS,EPRS1
108918,ENSG00000136628,2058,3418,EPRS,EPRS1
108919,ENSG00000136628,2058,3418,GLUPRORS,EPRS1
108920,ENSG00000136628,2058,3418,PARS,EPRS1
108921,ENSG00000136628,2058,3418,QARS,EPRS1
108922,ENSG00000136628,2058,3418,QPRS,EPRS1
108927,ENSG00000007202,9703,28960,BCOX,BLTP2
108928,ENSG00000007202,9703,28960,BCOX1,BLTP2
108929,ENSG00000007202,9703,28960,CT101,BLTP2
108930,ENSG00000007202,9703,28960,DKFZP686M0843,BLTP2
108931,ENSG00000007202,9703,28960,FMP27,BLTP2
108932,ENSG00000007202,9703,28960,HOB,BLTP2
108933,ENSG00000007202,9703,28960,KIAA0100,BLTP2
108934,ENSG00000007202,9703,28960,MGC111488,BLTP2
108943,ENSG00000251604,,50657,TCONS_00009424,LINC01385
108945,ENSG00000204529,,4690,GC-E,GUCY2EP
108946,ENSG00000204529,,4690,GUCY2E,GUCY2EP
108948,ENSG00000255221,,33827,CARD17,CARD17P
108949,ENSG00000255221,,33827,INCA,CARD17P
108955,ENSG00000091542,54890,25996,FLJ20308,ALKBH5
108956,ENSG00000091542,54890,25996,OFOXD1,ALKBH5
108957,ENSG00000184669,,8385,OR11-5,OR7E14P
108958,ENSG00000184669,,8385,OR7E151P,OR7E14P
108968,ENSG00000133703,3845,6407,K-RAS4B,KRAS
108969,ENSG00000133703,3845,6407,KRAS1,KRAS
108970,ENSG00000133703,3845,6407,KRAS2,KRAS
108972,ENSG00000269378,,3781,FNRBL,ITGB1P1
108973,ENSG00000269378,,3781,ITGB1L,ITGB1P1
108982,ENSG00000160961,84449,15624,KIAA1806,ZNF333
108990,ENSG00000254838,387751,25813,FLJ13373,GVINP1
108991,ENSG00000254838,387751,25813,GVIN1,GVINP1
108992,ENSG00000254838,387751,25813,GVIN1P,GVINP1
108993,ENSG00000254838,387751,25813,VLIG-1,GVINP1
108994,ENSG00000254838,387751,25813,VLIG1,GVINP1
108997,ENSG00000268257,100271873,34515,AIR,AIRN
108998,ENSG00000268257,100271873,34515,IGF2R-AS1,AIRN
108999,ENSG00000268257,100271873,34515,IGF2RAS,AIRN
109000,ENSG00000268257,100271873,34515,NCRNA00088,AIRN
109001,ENSG00000215196,,26609,LOC285696,BASP1-AS1
109002,ENSG00000173727,,56253,PAARH,FAUP4
109004,ENSG00000158483,55199,25561,FAM86C,FAM86C1P
109005,ENSG00000158483,55199,25561,FAM86C1,FAM86C1P
109006,ENSG00000158483,55199,25561,FLJ10661,FAM86C1P
109007,ENSG00000158483,55199,25561,FLJ27199,FAM86C1P
109012,ENSG00000175485,120787,15239,OR52W1P,OR52W1
109015,ENSG00000180878,160298,28541,MGC34805,C11ORF42
109017,ENSG00000051009,84067,25378,C11ORF56,FHIP1B
109018,ENSG00000051009,84067,25378,DKFZP566M1046,FHIP1B
109019,ENSG00000051009,84067,25378,FAM160A2,FHIP1B
109020,ENSG00000051009,84067,25378,FHIP,FHIP1B
109021,ENSG00000051009,84067,25378,FLJ22665,FHIP1B
109022,ENSG00000051009,84067,25378,KIAA1759,FHIP1B
109028,ENSG00000241438,,11706,CR-6,CRIPTOP6
109029,ENSG00000241438,,11706,CRIPTO-6,CRIPTOP6
109030,ENSG00000241438,,11706,TDGF1P6,CRIPTOP6
109031,ENSG00000241438,,11706,TDGF6,CRIPTOP6
109042,ENSG00000139370,121260,23090,PHT1,SLC15A4
109043,ENSG00000139370,121260,23090,PTR4,SLC15A4
109054,ENSG00000068912,27248,25222,C2ORF30,ERLEC1
109055,ENSG00000068912,27248,25222,CL25084,ERLEC1
109056,ENSG00000068912,27248,25222,ERLECTIN,ERLEC1
109057,ENSG00000068912,27248,25222,XTP3-B,ERLEC1
109058,ENSG00000068912,27248,25222,XTP3TPB,ERLEC1
109059,ENSG00000127507,30817,3337,CD312,ADGRE2
109060,ENSG00000127507,30817,3337,EMR2,ADGRE2
109062,ENSG00000132259,1262,2152,CNCA2,CNGA4
109063,ENSG00000132259,1262,2152,CNG5,CNGA4
109064,ENSG00000132259,1262,2152,CNGB2,CNGA4
109065,ENSG00000132259,1262,2152,OCNC2,CNGA4
109066,ENSG00000132259,1262,2152,OCNCB,CNGA4
109073,ENSG00000151948,144423,26483,FLJ31978,GLT1D1
109075,ENSG00000249362,,53467,CTD-2316B1,LINC02488
109078,ENSG00000110148,887,1571,CCK-2R,CCKBR
109079,ENSG00000110148,887,1571,CCK-BR,CCKBR
109080,ENSG00000110148,887,1571,CCK2R,CCKBR
109081,ENSG00000110148,887,1571,GASR,CCKBR
109088,ENSG00000243144,105375392,55875,RP11-115N4.1,LINC02932
109107,ENSG00000166313,322,581,FE65,APBB1
109108,ENSG00000166313,322,581,RIR,APBB1
109117,ENSG00000168589,83657,15467,DNCL2B,DYNLRB2
109118,ENSG00000168589,83657,15467,DNLC2B,DYNLRB2
109119,ENSG00000168589,83657,15467,ROBLD2,DYNLRB2
109121,ENSG00000256581,,29888,NLRP9P,NLRP9P1
109122,ENSG00000256581,,29888,NOD25,NLRP9P1
109125,ENSG00000111641,4839,7867,NOL1,NOP2
109126,ENSG00000111641,4839,7867,NOP120,NOP2
109127,ENSG00000111641,4839,7867,NSUN1,NOP2
109128,ENSG00000111641,4839,7867,P120,NOP2
109136,ENSG00000220575,100128264,48956,HTR5AOS,HTR5A-AS1
109139,ENSG00000067704,55699,29685,FLJ10326,IARS2
109150,ENSG00000104731,54758,25272,DKFZP434G0522,KLHDC4
109151,ENSG00000115486,2677,4247,VKCFD1,GGCX
109166,ENSG00000231764,,37151,EVF-2,DLX6-AS1
109167,ENSG00000231764,,37151,FLJ34048,DLX6-AS1
109168,ENSG00000231764,,37151,NCRNA00212,DLX6-AS1
109181,ENSG00000207590,406997,31592,HSA-MIR-215,MIR215
109182,ENSG00000207590,406997,31592,MIRN215,MIR215
109183,ENSG00000207624,406969,31564,HSA-MIR-194-1,MIR194-1
109184,ENSG00000207624,406969,31564,MIRN194-1,MIR194-1
109186,ENSG00000118873,25782,17168,DKFZP434D245,RAB3GAP2
109187,ENSG00000118873,25782,17168,KIAA0839,RAB3GAP2
109188,ENSG00000118873,25782,17168,RAB3-GAP150,RAB3GAP2
109189,ENSG00000118873,25782,17168,SPG69,RAB3GAP2
109199,ENSG00000230487,114796,22230,KIAA1908,PSMG3-AS1
109213,ENSG00000105198,29124,15449,PLAC8,LGALS13
109214,ENSG00000105198,29124,15449,PP13,LGALS13
109219,ENSG00000105419,56917,29537,DKFZP547H236,MEIS3
109220,ENSG00000105419,56917,29537,MRG2,MEIS3
109235,ENSG00000272081,,55232,TCONS_00010375,FCHO2-DT
109243,ENSG00000054938,25884,24168,BNF1,CHRDL2
109245,ENSG00000103257,8140,11063,CD98,SLC7A5
109246,ENSG00000103257,8140,11063,D16S469E,SLC7A5
109247,ENSG00000103257,8140,11063,E16,SLC7A5
109248,ENSG00000103257,8140,11063,LAT1,SLC7A5
109249,ENSG00000103257,8140,11063,MPE16,SLC7A5
109252,ENSG00000174579,55167,25544,FLJ10546,MSL2
109253,ENSG00000174579,55167,25544,KIAA1585,MSL2
109254,ENSG00000174579,55167,25544,MSL-2,MSL2
109255,ENSG00000174579,55167,25544,MSL2L1,MSL2
