primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
SLA,HGNC:10902,ENSG00000155926,GENE ID:6503,SLA1
SLA,HGNC:10902,ENSG00000155926,GENE ID:6503,SLAP
SLA,HGNC:10902,ENSG00000155926,GENE ID:6503,SLAP-1
SCAND2P,HGNC:10567,ENSG00000291642,,SCAND2
KBTBD4,HGNC:23761,ENSG00000284900,GENE ID:55709,BKLHD4
KBTBD4,HGNC:23761,ENSG00000284900,GENE ID:55709,FLJ10450
KBTBD4,HGNC:23761,ENSG00000284900,GENE ID:55709,HSPC252
UBE2Q2P1,HGNC:37439,ENSG00000291645,GENE ID:388165,FLJ43276
UBE2Q2P1,HGNC:37439,ENSG00000291645,GENE ID:388165,UBE2QP1
RPA3P2,HGNC:54791,ENSG00000218261,,
TAAR6,HGNC:20978,ENSG00000146383,GENE ID:319100,TA4
TAAR6,HGNC:20978,ENSG00000146383,GENE ID:319100,TRAR4
PLN,HGNC:9080,ENSG00000198523,GENE ID:5350,CMD1P
PLN,HGNC:9080,ENSG00000198523,GENE ID:5350,PLB
LINC00933,,ENSG00000291646,GENE ID:100506874,
MAN1A1,HGNC:6821,ENSG00000111885,GENE ID:4121,
ZCCHC10,HGNC:25954,ENSG00000155329,GENE ID:54819,FLJ20094
FTH1P26,HGNC:37644,ENSG00000218213,,FTHL26
MT1E,HGNC:7397,ENSG00000169715,GENE ID:4493,MT1
MT1E,HGNC:7397,ENSG00000169715,GENE ID:4493,MTD
SMARCE1P1,HGNC:39731,ENSG00000225215,,
GOPC,HGNC:17643,ENSG00000047932,GENE ID:57120,CAL
GOPC,HGNC:17643,ENSG00000047932,GENE ID:57120,DJ94G16.2
GOPC,HGNC:17643,ENSG00000047932,GENE ID:57120,FIG
GOPC,HGNC:17643,ENSG00000047932,GENE ID:57120,GOPC1
GOPC,HGNC:17643,ENSG00000047932,GENE ID:57120,PIST
FTH1P16,HGNC:3986,ENSG00000227376,,FTH2
FTH1P16,HGNC:3986,ENSG00000227376,,FTHL16
HNRNPA1P60,HGNC:48790,ENSG00000233497,,
ARL6IP1P3,HGNC:44972,ENSG00000255014,,
MRPL46,HGNC:1192,ENSG00000259494,GENE ID:26589,C15ORF4
MRPL46,HGNC:1192,ENSG00000259494,GENE ID:26589,LIECG2
MRPL46,HGNC:1192,ENSG00000259494,GENE ID:26589,ML46
MRPL46,HGNC:1192,ENSG00000259494,GENE ID:26589,P2ECSL
RNU5E-10P,HGNC:42533,ENSG00000285092,,
SMCO4,HGNC:24810,ENSG00000166002,GENE ID:56935,C11ORF75
SMCO4,HGNC:24810,ENSG00000166002,GENE ID:56935,FN5
FAM180B,HGNC:34451,ENSG00000284938,GENE ID:399888,LOC399888
MEIKIN,HGNC:51253,ENSG00000239642,GENE ID:728637,SPO13
C1QTNF4,HGNC:14346,ENSG00000284838,GENE ID:114900,CTRP4
C1QTNF4,HGNC:14346,ENSG00000284838,GENE ID:114900,ZACRP4
MT1M,HGNC:14296,ENSG00000205364,GENE ID:4499,MT1
MT1M,HGNC:14296,ENSG00000205364,GENE ID:4499,MT1K
DUX4L21,HGNC:50802,ENSG00000275610,,
GPI,HGNC:4458,ENSG00000105220,GENE ID:2821,AMF
GPI,HGNC:4458,ENSG00000105220,GENE ID:2821,NLK
FOXI2,HGNC:32448,ENSG00000186766,GENE ID:399823,FLJ46831
P4HA3,HGNC:30135,ENSG00000149380,GENE ID:283208,C-P4HALPHA(III)
FTH1P9,HGNC:39089,ENSG00000251395,,
AGBL2,HGNC:26296,ENSG00000285501,GENE ID:79841,CCP2
AGBL2,HGNC:26296,ENSG00000285501,GENE ID:79841,FLJ23598
LRRTM2,HGNC:19409,ENSG00000146006,GENE ID:26045,KIAA0416
TVP23B,HGNC:20399,ENSG00000171928,GENE ID:51030,CGI-148
TVP23B,HGNC:20399,ENSG00000171928,GENE ID:51030,FAM18B
TVP23B,HGNC:20399,ENSG00000171928,GENE ID:51030,FAM18B1
TVP23B,HGNC:20399,ENSG00000171928,GENE ID:51030,YDR084C
QNG1,HGNC:28144,ENSG00000165118,GENE ID:84267,C9ORF64
QNG1,HGNC:28144,ENSG00000165118,GENE ID:84267,MGC10999
SLC18A2,HGNC:10935,ENSG00000165646,GENE ID:6571,SVAT
SLC18A2,HGNC:10935,ENSG00000165646,GENE ID:6571,SVMT
SLC18A2,HGNC:10935,ENSG00000165646,GENE ID:6571,VAT2
SLC18A2,HGNC:10935,ENSG00000165646,GENE ID:6571,VMAT2
KRT8P24,HGNC:33376,ENSG00000259500,,
FEM1C,HGNC:16933,ENSG00000145780,GENE ID:56929,EUROIMAGE686608
FEM1C,HGNC:16933,ENSG00000145780,GENE ID:56929,EUROIMAGE783647
FEM1C,HGNC:16933,ENSG00000145780,GENE ID:56929,FEM1A
FEM1C,HGNC:16933,ENSG00000145780,GENE ID:56929,KIAA1785
TUBAP12,HGNC:54879,ENSG00000259614,,
MT1A,HGNC:7393,ENSG00000205362,GENE ID:4489,MT1
MT1A,HGNC:7393,ENSG00000205362,GENE ID:4489,MT1S
IGF1R,HGNC:5465,ENSG00000140443,GENE ID:3480,CD221
IGF1R,HGNC:5465,ENSG00000140443,GENE ID:3480,IGFIR
IGF1R,HGNC:5465,ENSG00000140443,GENE ID:3480,IGFR
IGF1R,HGNC:5465,ENSG00000140443,GENE ID:3480,JTK13
