,gene_symbol,alias_symbol,ENSG_ID,HGNC_ID,NCBI_ID,collision,source
2173,YY1,"DELTA,INO80S,NF-E1,UCRBP,YIN-YANG-1",ENSG00000100811,12856.0,7528.0,NF-E1,ENSG
2174,GATA1,"ERYF1,GATA-1,GF1,NF-E1,NFE1",ENSG00000102145,4170.0,2623.0,NF-E1,ENSG
2175,NF1P2,NF1HHS,ENSG00000290539,,440225.0,NF1HHS,ENSG
2176,NF1P1,NF1HHS,ENSG00000270831,7772.0,,NF1HHS,ENSG
2177,CSPG4,"CSPG4A,HMW-MAA,MCSP,MCSPG,MEL-CSPG,MSK16,NG2",ENSG00000173546,2466.0,1464.0,NG2,ENSG
2178,RNF5,"G16,NG2,RING5,RMA1",ENSG00000223767,10068.0,6048.0,NG2,ENSG
2179,MAP4K4,"FLH21957,HGK,NIK",ENSG00000071054,6866.0,9448.0,NIK,ENSG
2180,MAP3K14,"FTDCR1B,HS,HSNIK,NIK",ENSG00000282637,6853.0,9020.0,NIK,ENSG
2181,GIPC1,"C19ORF3,GIPC,GLUT1CBP,HS.6454,NIP,RGS19IP1,SEMCAP,SYNECTIN,TIP-2",ENSG00000123159,1226.0,10755.0,NIP,ENSG
2182,CRPPA,"HCG_1745121,ISPD,NIP",ENSG00000214960,37276.0,729920.0,NIP,ENSG
2183,DUOXA1,"FLJ32334,MOL,NIP,NUMBIP",ENSG00000140254,26507.0,90527.0,NIP,ENSG
2184,NCBP2,"CBC2,CBP20,NIP1",ENSG00000114503,7659.0,22916.0,NIP1,ENSG
2185,BNIP1,"NIP1,SEC20",ENSG00000113734,1082.0,662.0,NIP1,ENSG
2186,NECAB3,"APBA2BP,DJ63M2.4,DJ63M2.5,EFCBP3,NIP1,SYTIP2,XB51",ENSG00000125967,15851.0,63941.0,NIP1,ENSG
2187,IL17B,"IL-17B,IL-20,MGC138900,MGC138901,NIRF,ZCYTO7",ENSG00000127743,5982.0,27190.0,NIRF,ENSG
2188,UHRF2,"MGC33463,NIRF,RNF107,TDRD23,URF2",ENSG00000147854,12557.0,115426.0,NIRF,ENSG
2189,GLDC,"GCSP,NKH",ENSG00000178445,4313.0,2731.0,NKH,ENSG
2190,AMT,"GCST,NKH",ENSG00000145020,473.0,275.0,NKH,ENSG
2191,CD300LF,"CD300F,CLM1,IGSF13,IREM1,NKIR",ENSG00000186074,29883.0,146722.0,NKIR,ENSG
2192,TACR1,"NK1R,NKIR,SPR,TAC1R",ENSG00000115353,11526.0,6869.0,NKIR,ENSG
2193,TACR3,"NK3R,NKR,TAC3R",ENSG00000169836,11528.0,6870.0,NKR,ENSG
2194,KLRB1,"CD161,CLEC5B,HNKR-P1A,NKR,NKR-P1,NKR-P1A",ENSG00000111796,6373.0,3820.0,NKR,ENSG
2195,NKX6-2,"GTX,NKX6.1,NKX6B",ENSG00000148826,19321.0,84504.0,NKX6.1,ENSG
2196,NKX6-1,"NKX6.1,NKX6A",ENSG00000163623,7839.0,4825.0,NKX6.1,ENSG
2197,MMEL1,"MMEL2,NEPII,NL1,NL2,SEP",ENSG00000142606,14668.0,79258.0,NL2,ENSG
