,gene_symbol,alias_symbol,ENSG_ID,HGNC_ID,NCBI_ID,collision,source
192,H19,"D11S813E,ASM,ASM1,NCRNA00008,LINC00008,MIR675HG",ENSG00000130600,4713,283120.0,ASM,HGNC
193,TMPRSS11D,"HAT,ASP",ENSG00000153802,24059,9407.0,ASP,HGNC
194,ROPN1L,"ASP,FLJ25776,RSPH11,RP11-1C1.7,TCONS_00009352",ENSG00000145491,24060,83853.0,ASP,HGNC
195,ATG5,"ASP,APG5,hAPG5",ENSG00000057663,589,9474.0,ASP,HGNC
196,A1CF,"ACF,ASP,ACF64,ACF65,APOBEC1CF",ENSG00000148584,24086,29974.0,ASP,HGNC
197,ASPM,"Calmbp1,ASP,FLJ10517,FLJ10549",ENSG00000066279,19048,259266.0,ASP,HGNC
198,ASPA,"ASP,ACY2",ENSG00000108381,756,443.0,ASP,HGNC
199,ASIP,ASP,ENSG00000101440,745,434.0,ASP,HGNC
200,GOT1,"AST1,SGOT,AST",ENSG00000120053,4432,2805.0,AST,HGNC
201,SLC17A5,"AST,SD,ISSD,NSD,SIALIN,SLD",ENSG00000119899,10933,26503.0,AST,HGNC
202,SLC33A1,"AT-1,AT1",ENSG00000169359,95,9197.0,AT1,HGNC
203,PGR-AS1,"AT1,AT2,AT3",ENSG00000282728,52650,101054525.0,AT1,HGNC
204,AGTR1,"AT1,AT2R1,AGTR1A,AT2R1A,HAT1R,AG2S,AT2R1B,AT1B,ATR1",ENSG00000144891,336,185.0,AT1,HGNC
205,PGR-AS1,"AT1,AT2,AT3",ENSG00000282728,52650,101054525.0,AT2,HGNC
206,AGTR2,"AT2,MRX88",ENSG00000180772,338,186.0,AT2,HGNC
207,SERPINA2,"ATR,ARGS",ENSG00000258597,8985,390502.0,ATR,HGNC
208,ANTXR1,"TEM8,FLJ21776,FLJ10601,ATR",ENSG00000169604,21014,84168.0,ATR,HGNC
209,AGTR1,"AT1,AT2R1,AGTR1A,AT2R1A,HAT1R,AG2S,AT2R1B,AT1B,ATR1",ENSG00000144891,336,185.0,ATR1,HGNC
210,SLC3A1,"CSNU1,D2H,RBAT,ATR1,NBAT",ENSG00000138079,11025,6519.0,ATR1,HGNC
211,DMBX1,"PAXB,MBX,Atx",ENSG00000197587,19026,127343.0,ATX,HGNC
212,SMG1,"LIP,KIAA0421,ATX",ENSG00000157106,30045,23049.0,ATX,HGNC
213,ENPP2,"ATX,PD-IALPHA",ENSG00000136960,3357,5168.0,ATX,HGNC
214,OAZ1,"AZI,MGC138338,AZ1",ENSG00000104904,8095,4946.0,AZ1,HGNC
215,CEP131,"AZ1,KIAA1118",ENSG00000141577,29511,22994.0,AZ1,HGNC
216,USP9Y,"DFFRY,FAF-Y,AZFA",ENSG00000114374,12633,8287.0,AZFA,HGNC
217,AZF1,AZFa,,908,,AZFA,HGNC
218,MS4A1,"B1,Bp35,FMC7",ENSG00000156738,7315,931.0,B1,HGNC
219,BBS9,"B1,PTHB1",ENSG00000122507,30000,27241.0,B1,HGNC
220,NDUFB3,B12,ENSG00000119013,7698,4709.0,B12,HGNC
221,TNFAIP1,"B61,B12,MGC2317,BTBD34",ENSG00000109079,11894,7126.0,B12,HGNC
222,DONSON,"B17,C2TA,DKFZP434M035",ENSG00000159147,2993,29980.0,B17,HGNC
223,NDUFB6,"B17,CI",ENSG00000165264,7701,4712.0,B17,HGNC
224,NDUFB7,"B18,CI-B18,MGC2480",ENSG00000099795,7702,4713.0,B18,HGNC
225,EVA1C,"B18,PRED34,B19",ENSG00000166979,13239,59271.0,B18,HGNC
226,CD79B,"B29,Ig-beta,Igbeta",ENSG00000007312,1699,974.0,B29,HGNC
227,MRO,"B29,FLJ30140",ENSG00000134042,24121,83876.0,B29,HGNC
228,EPCIP,"B37,PRED81,CU062",ENSG00000205929,1305,56245.0,B37,HGNC
229,ATN1,B37,ENSG00000111676,3033,1822.0,B37,HGNC
230,B3GNT2,"B3GNT-2,BETA3GNT,B3GN-T2,B3GN-T1",ENSG00000170340,15629,10678.0,B3GN-T1,HGNC
231,B4GAT1,"IGnT,iGAT,BETA3GNTI,B3GN-T1",ENSG00000174684,15685,11041.0,B3GN-T1,HGNC
232,HHLA2,"B7H7,B7-H5,B7y,B7-H7",ENSG00000114455,4905,11148.0,B7-H5,HGNC
233,VSIR,"SISP1,GI24,B7-H5,B7H5,VISTA,PD-1H,Dies1",ENSG00000107738,30085,64115.0,B7-H5,HGNC
234,B9D1,"B9,EPPB9,MKS9,MKSR-1",ENSG00000108641,24123,27077.0,B9,HGNC
235,NDUFA3,B9,ENSG00000170906,7686,4696.0,B9,HGNC
236,AGAP13P,bA548K23.1,ENSG00000243289,23499,728005.0,BA548K23.1,HGNC
237,C10ORF62,,ENSG00000203942,23294,414157.0,BA548K23.1,HGNC
238,SMARCA4,"hSNF2b,BRG1,BAF190,SNF2,SWI2,SNF2-BETA,SNF2LB,FLJ39786",ENSG00000127616,11100,6597.0,BAF190,HGNC
239,SMARCA2,"BAF190,hSNF2a,hBRM,Sth1p,SNF2LA,BRM,SNF2,SWI2",ENSG00000080503,11098,6595.0,BAF190,HGNC
240,MAGI1,"BAP1,MAGI-1,TNRC19,AIP3,WWP3",ENSG00000151276,946,9223.0,BAP1,HGNC
241,RNF2,"BAP-1,BAP1,DING,HIPI3,RING1B,RING2",ENSG00000121481,10061,6045.0,BAP1,HGNC
242,BFAR,"BAR,RNF47",ENSG00000103429,17613,51283.0,BAR,HGNC
243,ADRB2,"ADRBR,BAR,B2AR,ARB2",ENSG00000169252,286,154.0,BAR,HGNC
244,BSND,BART,ENSG00000162399,16512,7809.0,BART,HGNC
245,ARL2BP,"BART1,BART",ENSG00000102931,17146,23568.0,BART,HGNC
246,NMBR,"BB1,BB1R,BRS1",ENSG00000135577,7843,4829.0,BB1,HGNC
247,MBOAT7,"BB1,hMBOA-7,LPLAT,LPIAT1,LPLAT11",ENSG00000125505,15505,79143.0,BB1,HGNC
248,ICAM1,"BB2,CD54",ENSG00000090339,5344,3383.0,BB2,HGNC
249,GRPR,"BB2,BB2R,BRS2",ENSG00000126010,4609,2925.0,BB2,HGNC
250,TM2D1,BBP,ENSG00000162604,24142,83941.0,BBP,HGNC
251,SF1,"ZFM1,ZCCHC25,BBP",ENSG00000168066,12950,7536.0,BBP,HGNC
252,PHF11,"NY-REN-34,BCAP,IGER",ENSG00000136147,17024,51131.0,BCAP,HGNC
253,PIK3AP1,"BCAP,FLJ35564",ENSG00000155629,30034,118788.0,BCAP,HGNC
254,SMN1,"BCD541,SMNT,SMA1,SMA2,SMA3,GEMIN1,TDRD16A",ENSG00000172062,11117,6606.0,BCD541,HGNC
255,SMN2,"BCD541,SMNC,GEMIN1,TDRD16B",ENSG00000205571,11118,6607.0,BCD541,HGNC
256,ARID3B,"BDP,DRIL2",ENSG00000179361,14350,10620.0,BDP,HGNC
257,PPM1K,"DKFZp761G058,PP2Ckappa,hPTMP,PP2Cm,BDP",ENSG00000163644,25415,152926.0,BDP,HGNC
