,primary_gene_symbol,HGNC_ID,ENSG_ID,NCBI_ID,gene_symbol
73986,MRPS18A,HGNC:14515,ENSG00000096080,GENE ID:55168,mL66
73987,MRPS18B,HGNC:14516,ENSG00000204568,GENE ID:28973,MRPS18-2
73988,MRPS18B,HGNC:14516,ENSG00000204568,GENE ID:28973,PTD017
73989,MRPS18B,HGNC:14516,ENSG00000204568,GENE ID:28973,C6orf14
73990,MRPS18B,HGNC:14516,ENSG00000204568,GENE ID:28973,HSPC183
73991,MRPS18B,HGNC:14516,ENSG00000204568,GENE ID:28973,mS40
73992,MRPL43,HGNC:14517,ENSG00000055950,GENE ID:84545,bMRP36a
73993,MRPL43,HGNC:14517,ENSG00000055950,GENE ID:84545,mL43
73994,CALML3,HGNC:1452,ENSG00000178363,GENE ID:810,CLP
73995,TSPYL6,HGNC:14521,ENSG00000178021,GENE ID:388951,
73996,MIOX,HGNC:14522,ENSG00000100253,GENE ID:55586,
73997,TIGD1,HGNC:14523,ENSG00000221944,GENE ID:200765,EEYORE
73998,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,HSS
73999,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,SYD1
74000,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,KIAA0516
74001,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,MGC14967
74002,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,MGC74461
74003,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,MGC117291
74004,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,JLP
74005,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,PHET
74006,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,HLC4
74007,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,FLJ13450
74008,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,FLJ14006
74009,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,FLJ26141
74010,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,FLJ34602
74011,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,CT89
74012,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,JIP4
74013,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,JIP-4
74014,SPAG9,HGNC:14524,ENSG00000008294,GENE ID:9043,PIG6
74015,CHORDC1,HGNC:14525,ENSG00000110172,GENE ID:26973,CHP1
74016,CHORDC1,HGNC:14525,ENSG00000110172,GENE ID:26973,CHP-1
74017,NAALAD2,HGNC:14526,ENSG00000077616,GENE ID:10003,NAALADASE2
74018,NAALAD2,HGNC:14526,ENSG00000077616,GENE ID:10003,GCPIII
74019,SP5,HGNC:14529,ENSG00000204335,GENE ID:389058,
74020,SP6,HGNC:14530,ENSG00000189120,GENE ID:80320,KLF14
74021,SP6,HGNC:14530,ENSG00000189120,GENE ID:80320,Epfn
74022,TUBAP2,HGNC:14531,ENSG00000214391,GENE ID:399942,
74023,UBTFL1,HGNC:14533,ENSG00000255009,GENE ID:642623,
74024,SPAG11B,HGNC:14534,ENSG00000164871,GENE ID:10407,HE2
74025,SPAG11B,HGNC:14534,ENSG00000164871,GENE ID:10407,EP2
74026,SPAG11B,HGNC:14534,ENSG00000164871,GENE ID:10407,EP2C
74027,SPAG11B,HGNC:14534,ENSG00000164871,GENE ID:10407,EP2D
74028,SPAG11B,HGNC:14534,ENSG00000164871,GENE ID:10407,EDDM2B
74029,KLF15,HGNC:14536,ENSG00000163884,GENE ID:28999,KKLF
74030,NPC2,HGNC:14537,ENSG00000119655,GENE ID:10577,HE1
74031,NPC2,HGNC:14537,ENSG00000119655,GENE ID:10577,NP-C2
74032,NPC2,HGNC:14537,ENSG00000119655,GENE ID:10577,EDDM1
74033,RNF213,HGNC:14539,ENSG00000173821,GENE ID:57674,KIAA1554
74034,RNF213,HGNC:14539,ENSG00000173821,GENE ID:57674,NET57
74035,RNF213,HGNC:14539,ENSG00000173821,GENE ID:57674,ALO17
74036,WNK1,HGNC:14540,ENSG00000060237,GENE ID:65125,HSAN2
74037,WNK1,HGNC:14540,ENSG00000060237,GENE ID:65125,PPP1R167
74038,WNK2,HGNC:14542,ENSG00000165238,GENE ID:65268,NY-CO-43
74039,WNK2,HGNC:14542,ENSG00000165238,GENE ID:65268,KIAA1760
74040,WNK3,HGNC:14543,ENSG00000196632,GENE ID:65267,
74041,WNK4,HGNC:14544,ENSG00000126562,GENE ID:65266,
74042,RASGRP3,HGNC:14545,ENSG00000152689,GENE ID:25780,KIAA0846
74043,RASGRP3,HGNC:14545,ENSG00000152689,GENE ID:25780,GRP3
74044,RASGRP3,HGNC:14545,ENSG00000152689,GENE ID:25780,CalDAG-GEFIII
74045,PCDHB16,HGNC:14546,ENSG00000272674,GENE ID:57717,PCDHB8a
74046,PCDHB16,HGNC:14546,ENSG00000272674,GENE ID:57717,PCDH3X
74047,PCDHB16,HGNC:14546,ENSG00000272674,GENE ID:57717,KIAA1621
74048,PCDHB16,HGNC:14546,ENSG00000272674,GENE ID:57717,PCDH-BETA16
74049,PCDHB16,HGNC:14546,ENSG00000272674,GENE ID:57717,ME1
74050,PCDHB17P,HGNC:14547,ENSG00000255622,GENE ID:54661,PCDH-psi1
74051,PCDHB18P,HGNC:14548,ENSG00000146001,GENE ID:54660,PCDH-psi2
74052,PCDHB19P,HGNC:14549,ENSG00000262096,GENE ID:84054,PCDH-PSI5
74053,CALR,HGNC:1455,ENSG00000179218,GENE ID:811,RO
74054,CALR,HGNC:1455,ENSG00000179218,GENE ID:811,SSA
74055,CALR,HGNC:1455,ENSG00000179218,GENE ID:811,cC1qR
74056,CALR,HGNC:1455,ENSG00000179218,GENE ID:811,CRT
74057,CALR,HGNC:1455,ENSG00000179218,GENE ID:811,FLJ26680
74058,CALR,HGNC:1455,ENSG00000179218,GENE ID:811,CALR1
74059,CDHR1,HGNC:14550,ENSG00000148600,GENE ID:92211,KIAA1775
74060,CDHR1,HGNC:14550,ENSG00000148600,GENE ID:92211,CORD15
74061,CDHR1,HGNC:14550,ENSG00000148600,GENE ID:92211,RP65
74062,IKBKE,HGNC:14552,ENSG00000263528,GENE ID:9641,IKKE
74063,IKBKE,HGNC:14552,ENSG00000263528,GENE ID:9641,IKK-i
74064,IKBKE,HGNC:14552,ENSG00000263528,GENE ID:9641,KIAA0151
74065,LRP10,HGNC:14553,ENSG00000197324,GENE ID:26020,DKFZP564C1940
74066,LRP10,HGNC:14553,ENSG00000197324,GENE ID:26020,MGC8675
74067,LRP10,HGNC:14553,ENSG00000197324,GENE ID:26020,LRP9
74068,LRP10,HGNC:14553,ENSG00000197324,GENE ID:26020,MST087
74069,LRP10,HGNC:14553,ENSG00000197324,GENE ID:26020,MSTP087
74070,CLEC4D,HGNC:14554,ENSG00000166527,GENE ID:338339,Mpcl
74071,CLEC4D,HGNC:14554,ENSG00000166527,GENE ID:338339,CD368
74072,CLEC4D,HGNC:14554,ENSG00000166527,GENE ID:338339,MCL
74073,CLEC4D,HGNC:14554,ENSG00000166527,GENE ID:338339,Dectin-3
74074,CLEC4E,HGNC:14555,ENSG00000166523,GENE ID:26253,MINCLE
74075,CLEC6A,HGNC:14556,ENSG00000205846,GENE ID:93978,dectin-2
74076,CLEC6A,HGNC:14556,ENSG00000205846,GENE ID:93978,hDECTIN-2
74077,CLEC7A,HGNC:14558,ENSG00000172243,GENE ID:64581,DECTIN-1
74078,CLEC7A,HGNC:14558,ENSG00000172243,GENE ID:64581,hDectin-1
74079,CLEC7A,HGNC:14558,ENSG00000172243,GENE ID:64581,CD369
74080,CLEC7A,HGNC:14558,ENSG00000172243,GENE ID:64581,SCARE2
74081,STOML2,HGNC:14559,ENSG00000165283,GENE ID:30968,SLP-2
74082,STOML2,HGNC:14559,ENSG00000165283,GENE ID:30968,HSPC108
74083,STOML1,HGNC:14560,ENSG00000067221,GENE ID:9399,hUNC-24
74084,STOML1,HGNC:14560,ENSG00000067221,GENE ID:9399,SLP-1
74085,STOML1,HGNC:14560,ENSG00000067221,GENE ID:9399,STORP
74086,STOML1,HGNC:14560,ENSG00000067221,GENE ID:9399,FLJ36370
74087,ARHGEF9,HGNC:14561,ENSG00000131089,GENE ID:23229,KIAA0424
74088,ARHGEF9,HGNC:14561,ENSG00000131089,GENE ID:23229,PEM-2
74089,BET1,HGNC:14562,ENSG00000105829,GENE ID:10282,hbet1
74090,SORBS1,HGNC:14565,ENSG00000095637,GENE ID:10580,FLJ12406
74091,SORBS1,HGNC:14565,ENSG00000095637,GENE ID:10580,CAP
74092,SORBS1,HGNC:14565,ENSG00000095637,GENE ID:10580,sh3p12
74093,SORBS1,HGNC:14565,ENSG00000095637,GENE ID:10580,ponsin
74094,SORBS1,HGNC:14565,ENSG00000095637,GENE ID:10580,KIAA1296
74095,KIF13A,HGNC:14566,ENSG00000137177,GENE ID:63971,bA500C11.2
