gene_symbol,alias_symbol,ENSG_ID,collision,source
OTOL1,"C1QTNF15,C1QTNF16",ENSG00000182447,C1QTNF15,HGNC
ERFE,"C1QTNF15,CTRP15,FLJ37034",ENSG00000178752,C1QTNF15,HGNC
CIITA,"C2TA,NLRA",ENSG00000179583,C2TA,HGNC
DONSON,"B17,C2TA,DKFZP434M035",ENSG00000159147,C2TA,HGNC
POLR3D,"C53,RPC4,TSBN51",ENSG00000168495,C53,HGNC
CDK5RAP3,"C53,FLJ13660,HSF-27,IC53,LZAP,MST016,OK/SW-cl.114",ENSG00000108465,C53,HGNC
C5,"C5a,C5b,CPAMD4",ENSG00000106804,C5A,HGNC
C5AR1,"C5A,C5AR,CD88",ENSG00000197405,C5A,HGNC
CHST3,"C6ST,C6ST1",ENSG00000122863,C6ST,HGNC
CHST2,C6ST,ENSG00000175040,C6ST,HGNC
CHST1,"C6ST,KSGal6ST",ENSG00000175264,C6ST,HGNC
NBR1,"1A1-3B,CA125,KIAA0049",ENSG00000188554,CA125,HGNC
MUC16,"CA-125,CA125,FLJ14303",ENSG00000181143,CA125,HGNC
DFFB,"CAD,CPAN,DFF-40,DFF40",ENSG00000169598,CAD,HGNC
B4GALNT2,"Cad,Sda",ENSG00000167080,CAD,HGNC
ACOD1,CAD,ENSG00000102794,CAD,HGNC
CHAF1A,"CAF-1,CAF1,CAF1B,CAF1P150,MGC71229,P150",ENSG00000167670,CAF-1,HGNC
CHAF1B,"CAF-1,CAF1,CAF1A,CAF1P60,MPHOSPH7,MPP7",ENSG00000159259,CAF-1,HGNC
CHAF1A,"CAF-1,CAF1,CAF1B,CAF1P150,MGC71229,P150",ENSG00000167670,CAF1,HGNC
CHAF1B,"CAF-1,CAF1,CAF1A,CAF1P60,MPHOSPH7,MPP7",ENSG00000159259,CAF1,HGNC
CNOT8,"CAF1,CALIF,hCAF1",ENSG00000155508,CAF1,HGNC
MSLN,"CAK1,MPF",ENSG00000102854,CAK1,HGNC
