,collision,gene_symbol,ENSG_ID,source,gene_symbol_count
1133,PAP,"['PAPOLA', ' MRPS30', ' TUSC2', ' ASAP1', ' PDAP1', ' ASAP2', ' REG3A', ' ACP3']","ENSG00000090060, ENSG00000112996, ENSG00000114383, ENSG00000153317, ENSG00000106244, ENSG00000151693, ENSG00000172016, ENSG00000014257",ENSG,8
2444,P100,"['OAS3', ' SND1', ' CUX1', ' SART3', ' NFKB2', ' TPX2', ' ASCC2', ' PMEL']","ENSG00000111331, ENSG00000197157, ENSG00000257923, ENSG00000075856, ENSG00000077150, ENSG00000088325, ENSG00000100325, ENSG00000185664",NCBI,8
103,AIP1,"['MAGI2', ' PDCD6IP', ' ACTRT1', ' ABI2', ' DAB2IP', ' ARL6IP1', ' BIRC3', ' WDR1']","ENSG00000187391, ENSG00000170248, ENSG00000123165, ENSG00000138443, ENSG00000136848, ENSG00000170540, ENSG00000023445, ENSG00000071127",NCBI,8
2511,P54,"['FKBP5', ' H3P43', ' ETS1', ' NONO', ' DDX6', ' IFIT2', ' SRSF11']","ENSG00000096060, ENSG00000226436, ENSG00000134954, ENSG00000147140, ENSG00000110367, ENSG00000119922, ENSG00000116754",NCBI,7
2315,NPIP,"['NPIPB11', ' NPIPB3', ' NPIPB10P', ' NPIPA2', ' NPIPA5', ' NPIPA1', ' PKD1P1']","ENSG00000254206, nan, nan, ENSG00000254852, ENSG00000183793, ENSG00000183426, ENSG00000244257",NCBI,7
82,ASP,"['TMPRSS11D', ' ROPN1L', ' ATG5', ' A1CF', ' ASPM', ' ASPA', ' ASIP']","ENSG00000153802, ENSG00000145491, ENSG00000057663, ENSG00000148584, ENSG00000066279, ENSG00000108381, ENSG00000101440",HGNC,7
2530,P75,"['TCF3', ' SIGLEC7', ' TNFRSF1B', ' PSIP1', ' HCLS1', ' KHSRP', ' CUX1']","ENSG00000071564, ENSG00000168995, ENSG00000028137, ENSG00000164985, ENSG00000180353, ENSG00000088247, ENSG00000257923",NCBI,7
2493,P38,"['POLDIP2', ' CRK', ' AIMP2', ' AHSA1', ' GRAP2', ' MAPK14', ' MAPK1']","ENSG00000004142, ENSG00000167193, ENSG00000106305, ENSG00000100591, ENSG00000100351, ENSG00000112062, ENSG00000100030",NCBI,7
1301,GNT1,"['UGT1A4', ' UGT1A6', ' UGT1A7', ' UGT1A', ' UGT1A8', ' UGT1A10', ' UGT1A1']","ENSG00000244474, ENSG00000167165, ENSG00000244122, nan, ENSG00000242366, ENSG00000242515, ENSG00000241635",NCBI,7
2481,P28,"['DNALI1', ' H3P24', ' PSMD10', ' TMED5', ' GOSR1', ' IL27', ' GSTO1']","ENSG00000163879, nan, ENSG00000101843, ENSG00000117500, ENSG00000108587, ENSG00000197272, ENSG00000148834",NCBI,7
