,NCBI_ID,gene_symbol,alias_symbol,HGNC_ID,ENSG_ID
18688,149076,ZNF362,LIN-29,18079,ENSG00000160094
18689,149086,LDC1P,LINC01225,49677,ENSG00000293391
18690,149095,DCST1,SNKY,26539,ENSG00000163357
18690,149095,DCST1,SPE49,26539,ENSG00000163357
18691,149111,CNIH3,CNIH-3,26802,ENSG00000143786
18694,149224,RPS7P4,RPS7_1_61,36000,ENSG00000229133
18695,149233,IL23R,PSORS7,19100,ENSG00000162594
18696,149281,NTMT2,C1ORF184,31932,ENSG00000203740
18696,149281,NTMT2,HOMT1B,31932,ENSG00000203740
18696,149281,NTMT2,METTL11B,31932,ENSG00000203740
18696,149281,NTMT2,NTM1B,31932,ENSG00000203740
18698,149345,SHISA4,C1ORF40,27139,ENSG00000198892
18698,149345,SHISA4,TMEM58,27139,ENSG00000198892
18699,149371,EXOC8,EXO84,24659,ENSG00000116903
18699,149371,EXOC8,EXO84P,24659,ENSG00000116903
18699,149371,EXOC8,NEDMISB,24659,ENSG00000116903
18699,149371,EXOC8,SEC84,24659,ENSG00000116903
18701,149420,PDIK1L,CLIK1L,18981,ENSG00000175087
18701,149420,PDIK1L,STK35L2,18981,ENSG00000175087
18702,149428,BNIPL,BNIP-S,16976,ENSG00000163141
18702,149428,BNIPL,BNIP-SALPHA,16976,ENSG00000163141
18702,149428,BNIPL,BNIP-SBETA,16976,ENSG00000163141
18702,149428,BNIPL,BNIPL-1,16976,ENSG00000163141
18702,149428,BNIPL,BNIPL-2,16976,ENSG00000163141
18702,149428,BNIPL,BNIPL1,16976,ENSG00000163141
18702,149428,BNIPL,BNIPL2,16976,ENSG00000163141
18702,149428,BNIPL,BNIPS,16976,ENSG00000163141
18702,149428,BNIPL,PP753,16976,ENSG00000163141
18703,149461,CLDN19,HOMG5,2040,ENSG00000164007
18704,149465,CFAP57,VWS2,26485,ENSG00000243710
18704,149465,CFAP57,WDR65,26485,ENSG00000243710
18705,149466,C1ORF210,TEMP,28755,ENSG00000253313
18709,149499,LRRC71,C1ORF92,26556,ENSG00000160838
18711,149563,SRARP,C1ORF64,28339,ENSG00000183888
18711,149563,SRARP,ERRF,28339,ENSG00000183888
18712,149603,RNF187,RACO-1,27146,ENSG00000168159
18712,149603,RNF187,RACO1,27146,ENSG00000168159
18714,149628,PYHIN1,IFIX,28894,ENSG00000163564
18715,149643,SPATA45,C1ORF227,33709,ENSG00000185523
18716,149647,GARIN4,FAM71A,26541,ENSG00000162771
18716,149647,GARIN4,GARI-L4,26541,ENSG00000162771
18716,149647,GARIN4,GARIL4,26541,ENSG00000162771
18718,149685,ADIG,SMAF1,28606,ENSG00000182035
18719,149699,GTSF1L,C20ORF65,16198,ENSG00000124196
18719,149699,GTSF1L,FAM112A,16198,ENSG00000124196
18719,149699,GTSF1L,DJ1028D15.4,16198,ENSG00000124196
18720,149708,WFDC5,PRG5,20477,ENSG00000175121
18720,149708,WFDC5,WAP1,20477,ENSG00000175121
18720,149708,WFDC5,DJ211D12.5,20477,ENSG00000175121
18721,149773,APCDD1L-DT,APCDD1L-AS1,27152,ENSG00000231290
18722,149775,GNAS-AS1,GNAS-AS,24872,ENSG00000235590
18722,149775,GNAS-AS1,GNAS1AS,24872,ENSG00000235590
18722,149775,GNAS-AS1,GNASAS,24872,ENSG00000235590
18722,149775,GNAS-AS1,NCRNA00075,24872,ENSG00000235590
18722,149775,GNAS-AS1,NESP-AS,24872,ENSG00000235590
18722,149775,GNAS-AS1,NESPAS,24872,ENSG00000235590
18722,149775,GNAS-AS1,SANG,24872,ENSG00000235590
18723,149830,PRNT,M8,18046,ENSG00000180259
18725,149840,SHLD1,C20ORF196,26318,ENSG00000171984
18725,149840,SHLD1,RINN3,26318,ENSG00000171984
18727,149934,NCOR1P1,C20ORF191,16724,ENSG00000290409
18727,149934,NCOR1P1,BB329D4.2,16724,ENSG00000290409
18730,149951,COMMD7,C20ORF92,16223,ENSG00000149600
18730,149951,COMMD7,DJ1085F17.3,16223,ENSG00000149600
18731,149954,BPIFB4,C20ORF186,16179,ENSG00000186191
18731,149954,BPIFB4,LPLUNC4,16179,ENSG00000186191
18731,149954,BPIFB4,RY2G5,16179,ENSG00000186191
18731,149954,BPIFB4,DJ726C3.5,16179,ENSG00000186191
18732,149986,LSM14B,C20ORF40,15887,ENSG00000149657
18732,149986,LSM14B,FAM61B,15887,ENSG00000149657
18732,149986,LSM14B,FT005,15887,ENSG00000149657
18732,149986,LSM14B,LSM13,15887,ENSG00000149657
18732,149986,LSM14B,RAP55B,15887,ENSG00000149657
18732,149986,LSM14B,BA11M20.3,15887,ENSG00000149657
18733,149992,ANKRD30BP2,C21ORF99,16620,
18733,149992,ANKRD30BP2,CT85,16620,
18733,149992,ANKRD30BP2,CTSP-1,16620,
