,collision,ENSG_ID,gene_symbol,source
100,ARP5,"ENSG00000101442, ENSG00000130812, ENSG00000244509","ACTR5, ANGPTL6, APOBEC3C",ENSG
101,ARP6,"ENSG00000243811, ENSG00000075089","APOBEC3D, ACTR6",ENSG
102,ARP8,"ENSG00000128394, ENSG00000113812","APOBEC3F, ACTR8",ENSG
103,AS,"ENSG00000114062, ENSG00000228964","UBE3A, HLA-B",ENSG
104,ASAP,"ENSG00000164114, ENSG00000153363","MAP9, LINC00467",ENSG
105,ASB,"ENSG00000113273, ENSG00000158578","ARSB, ALAS2",ENSG
106,ASC-1,"ENSG00000103671, ENSG00000130876","TRIP4, SLC7A10",ENSG
107,ASC2,"ENSG00000198646, ENSG00000169900","NCOA6, PYDC1",ENSG
108,ASF,"ENSG00000136450, ENSG00000062096","SRSF1, ARSF",ENSG
109,ASH1,"ENSG00000139352, ENSG00000116539","ASCL1, ASH1L",ENSG
110,ASH2,"ENSG00000183734, ENSG00000129691","ASCL2, ASH2L",ENSG
111,ASM,"ENSG00000166311, ENSG00000288237","SMPD1, H19",ENSG
112,ASP,"ENSG00000057663, ENSG00000145491, ENSG00000108381, ENSG00000148584, ENSG00000153802, ENSG00000101440, ENSG00000066279","ATG5, ROPN1L, ASPA, A1CF, TMPRSS11D, ASIP, ASPM",ENSG
113,AST,"ENSG00000120053, ENSG00000119899","GOT1, SLC17A5",ENSG
114,AT1,"ENSG00000144891, ENSG00000282728, ENSG00000169359","AGTR1, PGR-AS1, SLC33A1",ENSG
115,AT2,"ENSG00000282728, ENSG00000180772","PGR-AS1, AGTR2",ENSG
116,AT3,"ENSG00000282728, ENSG00000117601","PGR-AS1, SERPINC1",ENSG
117,ATDC,"ENSG00000137699, ENSG00000149311","TRIM29, ATM",ENSG
118,ATP5A,"ENSG00000154723, ENSG00000152234","ATP5PF, ATP5F1A",ENSG
