,HGNC_ID,alias_symbol,NCBI_ID,ENSG_ID,gene_symbol
449,18156,{'THEM1'},26027,ENSG00000162390,ACOT11
450,24436,{'Cach'},134526,ENSG00000172497,ACOT12
451,24436,{'THEAL'},134526,ENSG00000172497,ACOT12
452,24436,{'STARD15'},134526,ENSG00000172497,ACOT12
453,20999,{'HT012'},55856,ENSG00000112304,ACOT13
454,119,{'PALMCOX'},51,ENSG00000161533,ACOX1
455,120,{'BRCACOX'},8309,ENSG00000168306,ACOX2
456,120,{'BRCOX'},8309,ENSG00000168306,ACOX2
457,120,{'THCCox'},8309,ENSG00000168306,ACOX2
459,25621,{'FLJ11042'},55289,ENSG00000153093,ACOXL
460,25621,{'ACOX4'},55289,ENSG00000153093,ACOXL
462,122,{'HAAP'},52,ENSG00000143727,ACP1
463,122,{'LMW-PTP'},52,ENSG00000143727,ACP1
464,122,{'LMWPTP'},52,ENSG00000143727,ACP1
465,123,{'LAP'},53,ENSG00000134575,ACP2
466,125,{'ACP-3'},55,ENSG00000014257,ACP3
467,125,{'PAP'},55,ENSG00000014257,ACP3
468,125,{'TM-PAP'},55,ENSG00000014257,ACP3
470,124,{'TRAP'},54,ENSG00000102575,ACP5
471,124,{'HPAP'},54,ENSG00000102575,ACP5
472,124,{'TRAcP'},54,ENSG00000102575,ACP5
473,29609,{'LPAP'},51205,ENSG00000162836,ACP6
474,29609,{'ACPL1'},51205,ENSG00000162836,ACP6
475,33781,{'FLJ16165'},390928,ENSG00000183760,ACP7
476,33781,{'PAPL1'},390928,ENSG00000183760,ACP7
477,33781,{'PAPL'},390928,ENSG00000183760,ACP7
479,17195,{'SP32'},84519,ENSG00000111644,ACRBP
480,17195,{'OY-TES-1'},84519,ENSG00000111644,ACRBP
481,17195,{'CT23'},84519,ENSG00000111644,ACRBP
483,127,{'SPACA2'},56,ENSG00000134940,ACRV1
484,127,{'SP-10'},56,ENSG00000134940,ACRV1
485,127,{'D11S4365'},56,ENSG00000134940,ACRV1
486,29567,{'BGM'},23205,ENSG00000103740,ACSBG1
487,29567,{'FLJ30320'},23205,ENSG00000103740,ACSBG1
488,29567,{'MGC14352'},23205,ENSG00000103740,ACSBG1
489,29567,{'BG1'},23205,ENSG00000103740,ACSBG1
490,29567,{'KIAA0631'},23205,ENSG00000103740,ACSBG1
491,29567,{'hBG1'},23205,ENSG00000103740,ACSBG1
492,29567,{'hsBG'},23205,ENSG00000103740,ACSBG1
493,24174,{'BGR'},81616,ENSG00000130377,ACSBG2
494,24174,{'PRTD-NY3'},81616,ENSG00000130377,ACSBG2
495,24174,{'DKFZp434K1635'},81616,ENSG00000130377,ACSBG2
496,26101,{'FLJ20920'},80221,ENSG00000167107,ACSF2
497,26101,{'ACSMW'},80221,ENSG00000167107,ACSF2
499,3569,{'LACS2'},2180,ENSG00000151726,ACSL1
500,3569,{'LACS'},2180,ENSG00000151726,ACSL1
501,3569,{'ACS1'},2180,ENSG00000151726,ACSL1
