,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,aliases,collision_symbol,source
19464,ENSG00000205571,SMN2,11118,6607,"BCD541, SMNC, GEMIN1, TDRD16B", GEMIN1,HGNC
9637,ENSG00000153561,RMND5A,25850,64795,"FLJ13910, RMD5, GID2, GID2A, p44CTLH", GID2,HGNC
8744,ENSG00000145916,RMND5B,26181,64777,"FLJ22318, GID2, GID2B", GID2,HGNC
4381,ENSG00000115263,GCG,4191,2641,"GLP1, GLP2, GRPP, GLP-1", GLP-1,HGNC
22384,ENSG00000220201,ZGLP1,37245,100125288,"GLP1, GLP-1, GATAD3", GLP-1,HGNC
7331,ENSG00000136856,SLC2A8,13812,29988,"GLUTX1, GLUT8", GLUT8,HGNC
8816,ENSG00000146411,SLC2A12,18067,154091,"GLUT12, GLUT8", GLUT8,HGNC
3930,ENSG00000111711,GOLT1B,20175,51026,"CGI-141, YMR292W, GOT1", GOT1,HGNC
13666,ENSG00000174567,GOLT1A,24766,127845,"FLJ42654, CGI-141, YMR292W, GOT1, MGC62027", GOT1,HGNC
21030,ENSG00000213088,ACKR1,4035,2532,"CCBP1, GPD, Dfy, CD234", GPD,HGNC
7306,ENSG00000136732,GYPC,4704,2995,"GPC, GYPD, Ge, CD236, CD236R, GPD", GPD,HGNC
17296,ENSG00000197535,MYO5A,7602,4644,"MYO5, GS1, MYR12", GS1,HGNC
6182,ENSG00000130021,PUDP,16818,8226,"DXF68S1E, GS1", GS1,HGNC
158,ENSG00000006757,PNPLA4,24887,8228,"DXS1283E, GS2, iPLA2eta", GS2,HGNC
1089,ENSG00000069974,RAB27A,9766,5873,"RAB27, RAM, GS2, HsT18676", GS2,HGNC
41515,,CELIAC2,19378,,"CD, GSE", GSE,HGNC
11027,ENSG00000163599,CTLA4,2505,1493,"CD152, CD, GSE, CTLA-4", GSE,HGNC
