,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,aliases,collision_symbol,source
5626,ENSG00000124812,CRISP1,304,167,"AEGL1, ARP, CRISP-1, HSCRISP1D, HSCRISP1G, HUMARP", ARP,ENSG
2494,ENSG00000101246,ARFRP1,662,10139,"ARL18, ARP, ARP1", ARP1,ENSG
4576,ENSG00000116194,ANGPTL1,489,9068,"ANG3, ANGPT3, ANGY, ARP1", ARP1,ENSG
5602,ENSG00000124701,APOBEC2,605,10930,"ARCD1, ARP1", ARP1,ENSG
40834,ENSG00000244509,APOBEC3C,17353,27350,"APOBEC1L, ARDC2, ARDC4, ARP5, BK150C2.3, PBI", ARP5,ENSG
6384,ENSG00000130812,ANGPTL6,23140,83854,"AGF, ARP5", ARP5,ENSG
9173,ENSG00000148584,A1CF,24086,29974,"ACF, ACF64, ACF65, APOBEC1CF, ASP", ASP,ENSG
2543,ENSG00000101440,ASIP,745,434,"AGTIL, ASP", ASP,ENSG
778,ENSG00000057663,ATG5,589,9474,"APG5, APG5L, ASP, HAPG5", ASP,ENSG
3536,ENSG00000108381,ASPA,756,443,"ACY2, ASP", ASP,ENSG
8692,ENSG00000144891,AGTR1,336,185,"AG2S, AGTR1A, AGTR1B, AT1, AT1B, AT2R1, AT2R1A, AT2R1B, ATR1, HAT1R", AT1,ENSG
12672,ENSG00000169359,SLC33A1,95,9197,"ACATN, AT-1, AT1, SPG42", AT1,ENSG
9864,ENSG00000154723,ATP5PF,847,522,"ATP5, ATP5A, ATP5J, ATPM, CF6", ATPM,ENSG
9576,ENSG00000152234,ATP5F1A,823,498,"ATP5A, ATP5A1, ATP5AL2, ATPM, HATP1, OMR, ORM", ATPM,ENSG
5728,ENSG00000125703,ATG4C,16040,84938,"APG4C, AUTL1, AUTL3, FLJ14867", AUTL1,ENSG
12439,ENSG00000168397,ATG4B,20790,23192,"APG4B, AUTL1, DKFZP586D1822, KIAA0943", AUTL1,ENSG
13843,ENSG00000174684,B4GAT1,15685,11041,"B3GN-T1, B3GNT1, B3GNT6, BETA3GNTI, IGAT, IGNT", B3GNT1,ENSG
12889,ENSG00000170340,B3GNT2,15629,10678,"B3GN-T1, B3GN-T2, B3GNT-2, B3GNT1, BETA3GNT", B3GNT1,ENSG
5204,ENSG00000121481,RNF2,10061,6045,"BAP-1, BAP1, DING, HIPI3, RING1B, RING2", BAP1,ENSG
9445,ENSG00000151276,MAGI1,946,9223,"AIP3, BAIAP1, BAP1, MAGI-1, TNRC19, WWP3", BAP1,ENSG
2458,ENSG00000101132,PFDN4,8868,5203,"C-1, C1, PFD4", C1,ENSG
23387,ENSG00000211689,TRGC1,12275,445347,"CD3G, TCRG, TCRGC1, TCRGC2, TCRGV, C1, TCRGC1", C1,ENSG
15131,ENSG00000181143,MUC16,15582,94025,"CA-125, CA125, FLJ14303", CA125,ENSG
16898,ENSG00000188554,NBR1,6746,4077,"1A1-3B, CA125, KIAA0049, M17S2", CA125,ENSG
12246,ENSG00000167670,CHAF1A,1910,10036,"CAF-1, CAF1, CAF1B, CAF1P150, MGC71229, P150", CAF1,ENSG
10404,ENSG00000159259,CHAF1B,1911,8208,"CAF-1, CAF1, CAF1A, CAF1P60, MPHOSPH7, MPP7", CAF1,ENSG
14627,ENSG00000178538,CA8,1382,767,"CALS, CARP", CARP,ENSG
