,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,alias_symbol,source
1506,ENSG00000080819,CPOX,2321,1371, HCP,HGNC
10236,ENSG00000158813,EDA,3157,1896, HED,HGNC
5177,ENSG00000121742,GJB6,4288,10804, HED,HGNC
35582,ENSG00000258315,C17orf49,28737,124944, HEPIS,HGNC
11797,ENSG00000166352,IFTAP,25142,119710, HEPIS,HGNC
9696,ENSG00000154134,ROBO3,13433,64221, HGPS,HGNC
1617,ENSG00000084073,ZMPSTE24,12877,10269, HGPS,HGNC
11950,ENSG00000166946,CCNDBP1,1587,23582, HHM,HGNC
1746,ENSG00000087494,PTHLH,9607,5744, HHM,HGNC
21873,ENSG00000215301,DDX3X,2745,1654, HLP2,HGNC
4468,ENSG00000115756,HPCAL1,5145,3241, HLP2,HGNC
6649,ENSG00000132842,AP3B1,566,8546, HPS2,HGNC
10400,ENSG00000160182,TFF1,11755,7031, HPS2,HGNC
32084,ENSG00000248290,TNXA,11975,7146, HXBL,HGNC
12327,ENSG00000168477,TNXB,11976,7148, HXBL,HGNC
9607,ENSG00000153234,NR4A2,7981,4929, HZF-3,HGNC
45583,,ZNF125,12908,, HZF-3,HGNC
5145,ENSG00000121351,IAPP,5329,3375, IAP,HGNC
2633,ENSG00000102158,MAGT1,28880,84061, IAP,HGNC
6663,ENSG00000132938,MTUS2,20595,23281, ICIS,HGNC
6120,ENSG00000129422,MTUS1,29789,57509, ICIS,HGNC
5932,ENSG00000127743,IL17B,5982,27190, IL-20,HGNC
10823,ENSG00000162891,IL20,6002,50604, IL-20,HGNC
5505,ENSG00000124391,IL17C,5983,27189, IL-21,HGNC
5885,ENSG00000127318,IL22,14900,50616, IL-21,HGNC
7690,ENSG00000138684,IL21,6005,59067, IL-21,HGNC
13130,ENSG00000171914,TLN2,15447,83660, ILWEQ,HGNC
6327,ENSG00000130787,HIP1R,18415,9026, ILWEQ,HGNC
2487,ENSG00000101294,HM13,16435,81502, IMP1,HGNC
10288,ENSG00000159217,IGF2BP1,28866,10642, IMP1,HGNC
3520,ENSG00000108424,KPNB1,6400,3837, IPOB,HGNC
41198,ENSG00000291237,SOD2,11180,6648, IPOB,HGNC
