,NCBI_ID,gene_symbol,aliases,HGNC_ID,ENSG_ID,collision_symbol,source
20471,266790,HCA1,AH|HCA,,,AH,NCBI
17902,130872,AHSA2P,AHA1|AHSA2|Hch1,20437,ENSG00000293434,AHA1,NCBI
8296,10598,AHSA1,AHA1|C14orf3|hAha1|p38,1189,ENSG00000100591,AHA1,NCBI
13606,57491,AHRR,AHH|AHHR|bHLHe77,346,ENSG00000063438,AHH,NCBI
1255,1543,CYP1A1,AHH|AHRR|CP11|CYP1|CYPIA1|P1-450|P450-C|P450DX,2595,ENSG00000140465,AHH,NCBI
6366,8202,NCOA3,ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP,7670,ENSG00000124151,AIB1,NCBI
17227,116833,ANIB1,AIB|AIB1,,,AIB1,NCBI
9093,23054,NCOA6,AIB3|ASC2|NRC|PRIP|RAP250|TRBP,15936,ENSG00000198646,AIB3,NCBI
25329,497657,ANIB3,AIB3,,,AIB3,NCBI
14434,79000,AUNIP,AIBP|C1orf135,28363,ENSG00000127423,AIBP,NCBI
17758,128240,NAXE,AIBP|APOA1BP|PEBEL|YJEFN1,18453,ENSG00000163382,AIBP,NCBI
1432,1786,DNMT1,ADCADN|AIM|CXXC9|DNMT|HSN1E|MCMT|m.HsaI,2976,ENSG00000130816,AIM,NCBI
752,922,CD5L,AIM|API6|CT-2|PRO229|SP-ALPHA|Spalpha|hAIM,1690,ENSG00000073754,AIM,NCBI
797,969,CD69,AIM|BL-AC/P26|CLEC2C|EA1|GP32/28|MLR-3,1694,ENSG00000110848,AIM,NCBI
7130,9212,AURKB,AIK2|AIM-1|AIM1|ARK-2|ARK2|AurB|IPL1|PPP1R48|STK-1|STK12|STK5|aurkb-sv1|aurkb-sv2,11390,ENSG00000178999,AIM1,NCBI
11542,51151,SLC45A2,1A1|AIM1|MATP|OCA4|SHEP5,16472,ENSG00000164175,AIM1,NCBI
169,202,CRYBG1,AIM1|ST4,356,ENSG00000112297,AIM1,NCBI
7915,10152,ABI2,ABI-2|ABI2B|AIP-1|AIP1|AblBP3|SSH3BP2|argBP1|argBPIA|argBPIB,24011,ENSG00000138443,AIP-1,NCBI
7665,9863,MAGI2,ACVRIP1|AIP-1|AIP1|ARIP1|MAGI-2|NPHS15|SSCAM,18957,ENSG00000187391,AIP-1,NCBI
18924,153090,DAB2IP,AF9Q34|AIP-1|AIP1|DIP1/2,17294,ENSG00000136848,AIP-1,NCBI
7665,9863,MAGI2,ACVRIP1|AIP-1|AIP1|ARIP1|MAGI-2|NPHS15|SSCAM,18957,ENSG00000187391,AIP1,NCBI
7741,9948,WDR1,AIP1|HEL-S-52|NORI-1|PFITS,12754,ENSG00000071127,AIP1,NCBI
7797,10015,PDCD6IP,AIP1|ALIX|DRIP4|HP95|MCPH29,8766,ENSG00000170248,AIP1,NCBI
9213,23204,ARL6IP1,AIP1|ARL6IP|ARMER|SPG61,697,ENSG00000170540,AIP1,NCBI
275,330,BIRC3,AIP1|API2|CIAP2|HAIP1|HIAP1|IAP-1|MALT2|MIHC|RNF49|c-IAP2,591,ENSG00000023445,AIP1,NCBI
18189,139741,ACTRT1,AIP1|ARIP1|ARPT1|HSD27,24027,ENSG00000123165,AIP1,NCBI
18924,153090,DAB2IP,AF9Q34|AIP-1|AIP1|DIP1/2,17294,ENSG00000136848,AIP1,NCBI
