,alias_symbol,gene_symbol,ENSG_ID,source,gene_symbol_count
1307,HARP,"PANK2, PTN, ANGPTL2, ANKS4B, SMARCAL1, ANGPTL4","ENSG00000125779, ENSG00000105894, ENSG00000136859, ENSG00000175311, ENSG00000138375, ENSG00000167772",NCBI Info,46
1061,FKBP12,"FKBP1AP4, FKBP1AP3, FKBP1AP2, FKBP1AP1, FKBP1A","nan, nan, nan, nan, ENSG00000088832",NCBI Info,46
3204,U3,"SNORD3P1, SNORD3P3, SNORD3A, SNORD3F, SNORD3P4","ENSG00000200318, nan, nan, nan, nan",NCBI Info,46
3109,TP53TG3D,"LOC102723655, LOC102723713, TP53TG3F, TP53TG3E","nan, ENSG00000275869, ENSG00000278848, ENSG00000275034",NCBI Info,46
3315,ZNF,"ZNF629, ZNF436, ZNF763, ZNF501, ZNF569, ZNF44","ENSG00000102870, ENSG00000125945, ENSG00000197054, ENSG00000186446, ENSG00000196437, ENSG00000197857",NCBI Info,45
27,AIP1,"MAGI2, ARL6IP1, ACTRT1, WDR1, PDCD6IP, DAB2IP","ENSG00000187391, ENSG00000170540, ENSG00000123165, ENSG00000071127, ENSG00000170248, ENSG00000136848",HGNC,45
2510,PSP,"RIDA, STXBP3, BPIFA2, MSMB, PSPH, REG1A, PSPN","ENSG00000132541, ENSG00000116266, ENSG00000131050, ENSG00000263639, ENSG00000146733, ENSG00000115386, ENSG00000125650",NCBI Info,45
3417,p85,"PPP1R13B, PPP1R12C, PIK3R1, PIK3R2, CBFA2T2","ENSG00000088808, ENSG00000125503, ENSG00000145675, ENSG00000105647, ENSG00000078699",NCBI Info,43
2970,TBC1D3,"TBC1D3C, TBC1D3E, TBC1D3D, TBC1D3I, TBC1D3F","ENSG00000278299, ENSG00000278599, ENSG00000274419, ENSG00000274933, ENSG00000275954",NCBI Info,43
932,U2,"RNU2-1, RNU2-4P, RNU2-3P, RNU2-2P, RNU2-5P","ENSG00000274585, ENSG00000277084, ENSG00000222076, ENSG00000222328, ENSG00000222465",HGNC,42
516,CH507-154B10.1,"CH507-145C22.1, LOC105379499, LOC102724701","nan, nan, ENSG00000275496",NCBI Info,42
118,CAP,"BRD4, SORBS1, SERPINB6, CAP1, HACD1, LNPEP","ENSG00000141867, ENSG00000095637, ENSG00000124570, ENSG00000131236, ENSG00000165996, ENSG00000113441",HGNC,42
4322,HOX4,"HOXD8, HOXD9, HOXD10, HOXD11, HOXD4, HOXD1","ENSG00000175879, ENSG00000128709, ENSG00000128710, ENSG00000128713, ENSG00000170166, ENSG00000128645",ENSG,42
2971,TBC1D3A,"TBC1D3, TBC1D3D, TBC1D3E, TBC1D3I, TBC1D3C","ENSG00000274611, ENSG00000274419, ENSG00000278599, ENSG00000274933, ENSG00000278299",NCBI Info,42
3587,CAP,"SORBS1, CAP1, HACD1, BRD4, SERPINB6, LNPEP","ENSG00000095637, ENSG00000131236, ENSG00000165996, ENSG00000141867, ENSG00000124570, ENSG00000113441",ENSG,42
4321,HOX3,"HOXC8, HOXC5, HOXC4, HOXC6, HOXC13, HOXC9","ENSG00000037965, ENSG00000172789, ENSG00000198353, ENSG00000197757, ENSG00000123364, ENSG00000180806",ENSG,41
