gene_symbol,ENSG_ID,alias_symbol,source
TMEM268,ENSG00000157693,DKFZp547P234,HGNC
DYNLL1,ENSG00000088986,DLC1,HGNC
DLEC1,ENSG00000008226,DLC1,HGNC
DYM,ENSG00000141627,DMC,HGNC
CXCL17,ENSG00000189377,DMC,HGNC
SLC11A2,ENSG00000110911,DMT1,HGNC
DMRT1,ENSG00000137090,DMT1,HGNC
DNAJA2,ENSG00000069345,DNAJ,HGNC
DNAJC14,ENSG00000135392,DNAJ,HGNC
ANAPC10,ENSG00000164162,DOC1,HGNC
CDK2AP1,ENSG00000111328,DOC1,HGNC
TFDP1,ENSG00000198176,DP1,HGNC
REEP5,ENSG00000129625,DP1,HGNC
PTGDR,ENSG00000168229,DP1,HGNC
APC,ENSG00000134982,DP2,HGNC
PTGDR2,ENSG00000183134,DP2,HGNC
JUP,ENSG00000173801,DP3,HGNC
APC,ENSG00000134982,DP3,HGNC
KCNK1,ENSG00000135750,DPK,HGNC
TAOK3,ENSG00000135090,DPK,HGNC
DPP4,ENSG00000197635,DPPIV,HGNC
FAP,ENSG00000078098,DPPIV,HGNC
UTRN,ENSG00000152818,DRP,HGNC
DENR,ENSG00000139726,DRP,HGNC
CRMP1,ENSG00000072832,DRP-1,HGNC
DAPK2,ENSG00000035664,DRP-1,HGNC
DNM1L,ENSG00000087470,DRP1,HGNC
DENR,ENSG00000139726,DRP1,HGNC
UTRN,ENSG00000152818,DRP1,HGNC
ECI2,ENSG00000198721,DRS1,HGNC
DDX27,ENSG00000124228,DRS1,HGNC
MSH3,ENSG00000113318,DUP,HGNC
CDT1,ENSG00000167513,DUP,HGNC
SNORA70,ENSG00000207165,DXS648E,HGNC
RPL10,ENSG00000147403,DXS648E,HGNC
SNORA73A,ENSG00000274266,E1,HGNC
BCHE,ENSG00000114200,E1,HGNC
ENOPH1,ENSG00000145293,E1,HGNC
SNORA62,ENSG00000202363,E2,HGNC
DLAT,ENSG00000150768,E2,HGNC
CST12P,ENSG00000226344,E2,HGNC
DLD,ENSG00000091140,E3,HGNC
ALDH9A1,ENSG00000143149,E3,HGNC
SNORA63,ENSG00000200320,E3,HGNC
UBE4B,ENSG00000130939,E4,HGNC
UBE4A,ENSG00000110344,E4,HGNC
EXOSC7,ENSG00000075914,EAP1,HGNC
PTTG1,ENSG00000164611,EAP1,HGNC
IRF2BPL,ENSG00000119669,EAP1,HGNC
MAPRE1,ENSG00000101367,EB1,HGNC
MAPRE2,ENSG00000166974,EB1,HGNC
COX7A2L,ENSG00000115944,EB1,HGNC
GLB1,ENSG00000170266,EBP,HGNC
SH3D19,ENSG00000109686,EBP,HGNC
EIF2B5,ENSG00000145191,EIF-2B,HGNC
EIF2B3,ENSG00000070785,EIF-2B,HGNC
EIF2B4,ENSG00000115211,EIF-2B,HGNC
EIF2B1,ENSG00000111361,EIF-2B,HGNC
EIF2B2,ENSG00000119718,EIF2B,HGNC
EIF2B4,ENSG00000115211,EIF2B,HGNC
