HGNC ID	Alias symbol	NCBI gene ID	Ensembl gene ID	Approved symbol
HGNC:26001	LAAT1	54896	ENSG00000040487	SLC66A1
HGNC:25146		152078	ENSG00000174899	SLC66A1LP
HGNC:26188	FLJ22378	80148	ENSG00000122490	SLC66A2
HGNC:43986		106479032	ENSG00000231763	SLC66A2P1
HGNC:43987		100127906		SLC66A2P2
HGNC:28503	MGC33602	130814	ENSG00000162976	SLC66A3
HGNC:10956	OATP	6579	ENSG00000084453	SLCO1A2
HGNC:10956	OATP1A2	6579	ENSG00000084453	SLCO1A2
HGNC:10956	OATP-A	6579	ENSG00000084453	SLCO1A2
HGNC:10959	OATP-C	10599	ENSG00000134538	SLCO1B1
HGNC:10959	LST-1	10599	ENSG00000134538	SLCO1B1
HGNC:10959	OATP1B1	10599	ENSG00000134538	SLCO1B1
HGNC:10961	OATP8	28234	ENSG00000111700	SLCO1B3
HGNC:10961	OATP1B3	28234	ENSG00000111700	SLCO1B3
HGNC:54403	OATP1B3-1B7	115072896	ENSG00000257046	SLCO1B3-SLCO1B7
HGNC:54403	LST-3TM12	115072896	ENSG00000257046	SLCO1B3-SLCO1B7
HGNC:32934	LST3	338821	ENSG00000205754	SLCO1B7
HGNC:32934	SLC21A21	338821	ENSG00000205754	SLCO1B7
HGNC:13819	OATP-F	53919	ENSG00000139155	SLCO1C1
HGNC:13819	OATP1C1	53919	ENSG00000139155	SLCO1C1
HGNC:13819	OATP1	53919	ENSG00000139155	SLCO1C1
HGNC:10955	PGT	6578	ENSG00000174640	SLCO2A1
HGNC:10955	OATP2A1	6578	ENSG00000174640	SLCO2A1
HGNC:10962	OATP-B	11309	ENSG00000137491	SLCO2B1
HGNC:10962	OATP2B1	11309	ENSG00000137491	SLCO2B1
HGNC:10952	OATP-D	28232	ENSG00000176463	SLCO3A1
HGNC:10952	OATP3A1	28232	ENSG00000176463	SLCO3A1
HGNC:10953	OATP-E	28231	ENSG00000101187	SLCO4A1
HGNC:10953	OATP4A1	28231	ENSG00000101187	SLCO4A1
HGNC:40537		100127888	ENSG00000232803	SLCO4A1-AS1
HGNC:56052		101928465	ENSG00000277496	SLCO4A1-AS2
HGNC:23612	SLC21A20	353189	ENSG00000173930	SLCO4C1
