HGNC ID	Approved symbol	Gene group ID
HGNC:21607	AIG1	
HGNC:43926	AIG1P1	
HGNC:353	AIH1	
HGNC:354	AIH2	
HGNC:355	AIH3	
HGNC:357	AIM2	995|994
HGNC:10648	AIMP1	2116
HGNC:16543	AIMP1P1	
HGNC:43693	AIMP1P2	
HGNC:20609	AIMP2	1835|2116
HGNC:358	AIP	1691|910
HGNC:359	AIPL1	910
HGNC:360	AIRE	88
HGNC:26039	AIRIM	
HGNC:34515	AIRN	1992
HGNC:16304	AIS1	
HGNC:23054	AIS2	
HGNC:23083	AIS3	
HGNC:30801	AJAP1	
HGNC:37284	AJM1	
HGNC:20250	AJUBA	1403
HGNC:55449	AJUBA-DT	1990
